hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Discount,market_segment,Cost,meal
"Resort Hotel",1,101,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,6/12/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,51,2018,July,27,3,0,2,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",242,NULL,0,Transient,110.3,0,0,Canceled,6/9/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,48,2018,July,27,3,1,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,123,0,0,Canceled,5/26/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,368,2018,July,27,3,3,7,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",40,NULL,0,Contract,55.68,0,0,Canceled,5/19/2018,0.3,"Offline TA/TO",12.99,BB
"Resort Hotel",1,81,2018,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,"No Deposit",250,NULL,0,Transient,124,0,1,Canceled,6/9/2018,0.1,Direct,17.99,HB
"Resort Hotel",1,79,2018,July,27,3,6,15,2,1,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",242,NULL,0,Transient,108.73,0,2,Canceled,4/15/2018,0.3,"Offline TA/TO",12.99,BB
"Resort Hotel",1,109,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,123,0,1,Canceled,5/26/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,72,2018,July,27,3,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,6/29/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,63,2018,July,27,3,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,F,F,0,"No Deposit",242,NULL,0,Transient,117,0,1,Canceled,5/13/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,26,2018,July,27,4,2,5,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,NULL,0,Transient,163,0,0,Canceled,6/9/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,73,2018,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,"No Deposit",250,NULL,0,Transient,172,0,1,Canceled,5/20/2018,0.1,Direct,17.99,HB
"Resort Hotel",1,102,2018,July,27,4,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,110.7,0,1,Canceled,4/22/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,101,2018,July,27,4,2,6,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,96.3,0,1,Canceled,5/12/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,51,2018,July,27,4,0,1,1,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,105,0,0,Canceled,5/29/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,73,2018,July,27,4,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,2,Canceled,5/13/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,33,2018,July,27,4,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,113,0,0,Canceled,6/16/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,5,2018,July,28,5,1,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,97,0,0,Canceled,7/1/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,34,2018,July,28,5,2,4,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,NULL,0,Transient,163,0,0,Canceled,6/17/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,93,2018,July,28,5,2,5,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",15,NULL,0,Transient,105.5,0,0,Canceled,5/1/2018,0.3,"Offline TA/TO",17.99,HB
"Resort Hotel",1,101,2018,July,28,5,2,5,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,114,0,1,Canceled,3/30/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,48,2018,July,28,6,1,3,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,167,0,0,Canceled,6/3/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,86,2018,July,28,6,2,5,1,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",175,NULL,0,Transient,71,0,1,Canceled,6/26/2018,0.3,"Offline TA/TO",17.99,HB
"Resort Hotel",1,94,2018,July,28,6,3,7,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,87.3,0,0,Canceled,5/14/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,67,2018,July,28,7,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,5/7/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,43,2018,July,28,7,0,5,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",134,NULL,0,Transient,91.5,0,0,Canceled,5/28/2018,0.3,"Offline TA/TO",17.99,HB
"Resort Hotel",1,88,2018,July,28,7,2,5,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,139,0,2,Canceled,4/13/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,292,2018,July,28,7,2,5,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",2,NULL,0,Contract,47.25,0,0,Canceled,3/25/2018,0.3,"Offline TA/TO",12.99,BB
"Resort Hotel",1,113,2018,July,28,8,0,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,123,0,1,Canceled,5/28/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,105,2018,July,28,8,0,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,6/29/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,1,2018,July,28,8,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,"No Deposit",NULL,110,0,Transient,104.72,0,1,Canceled,7/8/2018,0.15,Corporate,12.99,BB
"Resort Hotel",1,102,2018,July,28,8,1,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,"No Deposit",9,NULL,0,Transient,66.42,0,1,Canceled,5/28/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,280,2018,July,28,8,2,5,2,1,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",40,NULL,0,Contract,112,0,1,Canceled,4/15/2018,0.3,"Offline TA/TO",17.99,HB
"Resort Hotel",1,77,2018,July,28,9,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,"No Deposit",250,NULL,0,Transient,97,0,0,Canceled,6/2/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,24,2018,July,28,9,0,3,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,C,C,0,"No Deposit",242,NULL,0,Transient,123,0,1,Canceled,6/16/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,44,2018,July,28,9,0,3,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,153,0,0,Canceled,6/16/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,17,2018,July,28,9,1,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,105.08,0,0,Canceled,6/23/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,103,2018,July,28,9,1,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,65.42,0,0,Canceled,6/27/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,69,2018,July,28,9,2,6,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,118.13,0,2,Canceled,5/13/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,51,2018,July,28,10,2,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,123,0,0,Canceled,6/29/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,100,2018,July,28,11,2,3,2,1,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",149,NULL,0,Transient,153.96,0,0,Canceled,5/29/2018,0.3,"Offline TA/TO",17.99,HB
"Resort Hotel",1,36,2018,July,28,11,2,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,126.67,0,0,Canceled,6/8/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,109,2018,July,28,11,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,4/22/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,59,2018,July,28,11,2,6,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,111.25,0,2,Canceled,5/19/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,72,2018,July,29,12,2,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,93,0,2,Canceled,5/12/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,58,2018,July,29,12,2,5,3,1,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,"No Deposit",250,NULL,0,Transient,164.57,0,1,Canceled,6/29/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,51,2018,July,29,12,2,5,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",241,NULL,0,Transient,105.71,0,0,Canceled,7/3/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,97,2018,July,29,12,3,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,126,0,1,Canceled,6/19/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,24,2018,July,29,12,2,1,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,128,0,0,Canceled,6/22/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,79,2018,July,29,13,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,100.86,0,1,Canceled,5/13/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,45,2018,July,29,13,1,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,123,0,0,Canceled,6/18/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,60,2018,July,29,13,1,4,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",15,NULL,0,Transient,79.5,0,0,Canceled,6/24/2018,0.3,"Offline TA/TO",12.99,BB
"Resort Hotel",1,321,2018,July,29,13,1,4,2,0,0,HB,PRT,Direct,TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,132.8,0,1,Canceled,3/5/2018,0.1,Direct,17.99,HB
"Resort Hotel",1,51,2018,July,29,13,1,4,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",156,NULL,0,Contract,79.5,0,0,Canceled,5/23/2018,0.3,"Offline TA/TO",12.99,BB
"Resort Hotel",1,75,2018,July,29,13,1,4,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,144.2,0,1,Canceled,6/22/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,42,2018,July,29,13,1,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,120,0,0,Canceled,6/1/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,81,2018,July,29,13,1,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,98.5,0,2,Canceled,4/24/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,98,2018,July,29,13,1,5,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,130.5,0,0,Canceled,5/12/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,95,2018,July,29,13,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,100.86,0,1,Canceled,4/15/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,40,2018,July,29,14,0,1,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",171,NULL,0,Transient,105.5,0,0,Canceled,7/3/2018,0.3,"Offline TA/TO",12.99,BB
"Resort Hotel",1,76,2018,July,29,14,0,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,126,0,2,Canceled,5/27/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,112,2018,July,29,14,2,5,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,65.7,0,1,Canceled,4/6/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,96,2018,July,29,14,2,7,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",242,NULL,0,Transient,107.67,0,1,Canceled,4/11/2018,0.3,"Offline TA/TO",12.99,BB
"Resort Hotel",1,96,2018,July,29,14,2,7,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,96.9,0,1,Canceled,4/11/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,62,2018,July,29,15,0,3,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",171,NULL,0,Transient,91.5,0,0,Canceled,7/3/2018,0.3,"Offline TA/TO",17.99,HB
"Resort Hotel",1,39,2018,July,29,15,0,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,132.44,0,0,Canceled,6/27/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,58,2018,July,29,15,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,131.86,0,0,Canceled,6/25/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,57,2018,July,29,15,0,2,2,0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,"No Deposit",305,NULL,0,Transient-Party,0,0,0,Canceled,7/13/2018,0.1,Groups,21.99,FB
"Resort Hotel",1,66,2018,July,29,16,0,2,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,195,0,1,Canceled,7/2/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,48,2018,July,29,16,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,"No Deposit",146,NULL,0,Transient,112,0,0,Canceled,6/5/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,0,2018,July,29,16,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,F,F,0,"No Deposit",241,NULL,0,Transient,123.2,0,0,Canceled,7/16/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,66,2018,July,29,16,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,103.5,0,1,Canceled,7/2/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,10,2018,July,29,16,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,"No Deposit",250,NULL,0,Transient,134,0,0,Canceled,7/13/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,58,2018,July,29,16,0,3,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,147,0,0,Canceled,6/19/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,17,2018,July,29,16,0,3,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,151.33,0,0,Canceled,6/30/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,12,2018,July,29,16,2,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,"No Deposit",NULL,178,0,Transient,139,0,0,Canceled,7/7/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,35,2018,July,29,16,1,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,135,0,0,Canceled,6/13/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,35,2018,July,29,16,2,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,135,0,0,Canceled,6/11/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,15,2018,July,29,17,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,134,0,1,Canceled,7/6/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,7,2018,July,29,17,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,"No Deposit",NULL,NULL,0,Transient,127.25,0,1,Canceled,7/13/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,23,2018,July,29,17,1,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,120.6,0,1,Canceled,7/4/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,23,2018,July,29,17,2,5,2,2,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,"No Deposit",250,NULL,0,Transient,195,0,0,Canceled,6/24/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,32,2018,July,29,17,1,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,154,0,0,Canceled,6/24/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,0,2018,July,29,17,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,L,C,0,"No Deposit",NULL,NULL,0,Transient,136,0,0,Canceled,7/17/2018,0.1,Direct,12.99,BB
"Resort Hotel",1,37,2018,July,29,18,2,4,2,2,0,HB,PRT,"Online TA",TA/TO,0,0,0,C,C,0,"No Deposit",242,NULL,0,Transient,168.3,0,0,Canceled,7/18/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,96,2018,July,29,18,2,2,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,147,0,0,Canceled,4/29/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,123,2018,July,29,18,2,2,2,0,1,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,1,"No Deposit",240,NULL,0,Transient,157,0,2,Canceled,6/4/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,42,2018,July,29,18,2,3,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,NULL,0,Transient,210,0,0,Canceled,6/11/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,40,2018,July,29,18,2,5,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",196,NULL,0,Transient,127.03,0,2,Canceled,6/24/2018,0.3,"Offline TA/TO",17.99,HB
"Resort Hotel",1,60,2018,July,29,18,2,6,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,167,0,0,Canceled,6/1/2018,NULL,NULL,17.99,HB
"Resort Hotel",1,59,2018,July,30,19,2,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,145,0,0,Canceled,5/23/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,37,2018,July,30,19,2,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,154,0,0,Canceled,6/29/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,38,2018,July,30,19,2,4,1,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",5,NULL,0,Transient,110.53,0,0,Canceled,6/19/2018,0.3,"Offline TA/TO",12.99,BB
"Resort Hotel",1,62,2018,July,30,19,2,5,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,E,E,0,"No Deposit",261,NULL,0,Transient,158.5,0,1,Canceled,6/17/2018,0.3,"Offline TA/TO",17.99,HB
"Resort Hotel",1,60,2018,July,30,19,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,117.71,0,0,Canceled,5/27/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,31,2018,July,30,19,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,154,0,0,Canceled,6/19/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,24,2018,July,30,19,2,4,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,214,0,0,Canceled,6/29/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,104,2018,July,30,19,2,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,115,0,2,Canceled,7/2/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,47,2018,July,30,19,3,5,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,195,0,0,Canceled,7/14/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,118,2018,July,30,20,1,2,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,179.1,0,2,Canceled,5/13/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,41,2018,July,30,20,1,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,135,0,1,Canceled,6/15/2018,NULL,NULL,12.99,BB
"Resort Hotel",1,60,2018,July,30,20,1,4,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,195,0,0,Canceled,6/17/2018,NULL,NULL,12.99,BB
